"Company.x","Address","Cost_Normal","Company.y","Cost_Premium","lon","lat","geoAddress"
"Sunoco","1030 Broadway Revere MA 02151",3.39,"Sunoco",4.19,-71.004697,42.421866,"1030 broadway, revere, ma 02151, usa"
"Gasco Mart","520 Broadway Revere MA 02151",3.34,"Gasco Mart",4.49,-71.0107516,42.4128796,"520 broadway, revere, ma 02151, usa"
"Shell","174 Squire Rd Revere MA 02151",3.37,"Shell",5.25,-71.0101944,42.4237191,"174 squire rd, revere, ma 02151, usa"
"Mobil","338 Squire Rd Revere MA 02151",3.39,"Mobil",4.69,-71.0140948,42.4269447,"338 squire rd, revere, ma 02151, usa"
"Speedway #2409","630 Squire Rd Revere MA 02151",3.46,"Speedway #2409",4.29,-71.0233116,42.4311363,"630 squire rd, revere, ma 02151, usa"
"Johns Oil And Gas Depot","200 Beach St Malden MA 02148",3.49,NA,NA,-71.0244027,42.4318976,"200 beach st, malden, ma 02148, usa"
"Speedway #2504","214 Broadway Malden MA 02148",3.49,"Speedway #2504",4.29,-71.0403981,42.4306512,"214 broadway, malden, ma 02148, usa"
"King Petroleum Station","324 Broadway Malden MA 02148",3.57,NA,NA,-71.0392303,42.4338486,"324 broadway, malden, ma 02148, usa"
"Mobil","2 Essex St Saugus MA 01906",3.69,"Mobil",5.09,-71.0103918,42.448515,"2 essex st, saugus, ma 01906, usa"
"Shell","345 Bennett Hwy Revere MA 02151",3.69,"Shell",4.69,-71.0250295,42.445104,"345 bennett hwy, revere, ma 02151, usa"
"Angelos","367 Lincoln Ave Saugus MA 01906",3.39,NA,NA,-71.0038563,42.4502935,"367 lincoln ave, saugus, ma 01906, usa"
"Memorial Drive Shell","820 Memorial Dr Cambridge MA 02139",3.73,"Memorial Drive Shell",4.83,-71.1158627,42.3617621,"820 memorial dr, cambridge, ma 02139, usa"
"A And E Service Station","199 Concord Ave Cambridge MA 02138",3.99,NA,NA,-71.1310421,42.3827556,"199 concord ave, cambridge, ma 02138, usa"
"Massachusetts Avenue Gas","1725 Massachusetts Ave Cambridge MA 02138",3.65,NA,NA,-71.1190193,42.3840486,"1725 massachusetts ave, cambridge, ma 02138, usa"
"Shell","260 Lexington Ave Cambridge MA 02138",3.95,"Shell",5.09,-71.1424495,42.3831839,"260 lexington ave, cambridge, ma 02138, usa"
"Cumberland Farms #003531","701 Somerville Ave Somerville MA 02143",3.62,NA,NA,-71.113971,42.3858512,"701 somerville ave, somerville, ma 02143, usa"
"Fresh Pond Mobil","343 Fresh Pond Pkwy Cambridge MA 02138",3.73,"Fresh Pond Mobil",4.69,-71.140837,42.3854741,"343 fresh pond pkwy, cambridge, ma 02138, usa"
"Fresh Pond Gas","480 Concord Ave Cambridge MA 02239",3.79,"Fresh Pond Gas",4.59,-71.1406044,42.3865347,"480 concord ave, cambridge, ma 02138, usa"
"Cumberland Farms #003529","1195 Boylston St Chestnut Hill MA 02467",3.85,"Cumberland Farms #003529",4.49,-71.1647043,42.3234976,"1195 boylston st, chestnut hill, ma 02467, usa"
"7-eleven","325 Boylston St Newton Center MA 02459",3.75,"7-eleven",4.45,-71.1815547,42.3194357,"325 boylston st, newton, ma 02459, usa"
"Newton Center Shell","1365 Centre St Newton Center MA 02459",3.99,"Newton Center Shell",5.19,-71.197277,42.3275734,"1365 centre st, newton centre, ma 02459, usa"
"Sunoco","50 Winchester St Newton Highlands MA 02461",3.75,NA,NA,-71.2083462,42.3182289,"50 winchester st, newton, ma 02461, usa"
"J And S Mobil","1094 Beacon St Newton Highlands MA 02461",3.89,"J And S Mobil",5.07,-71.2073482,42.330469,"1094 beacon st, newton, ma 02461, usa"
"Route 9 Bp","964 Boylston St Newton Highlands MA 02461",3.75,"Route 9 Bp",4.55,-71.2107551,42.3189727,"964 boylston st, newton highlands, ma 02461, usa"
"Newton Tire And Auto","79 Needham St Newton Highlands MA 02461",3.79,"Newton Tire And Auto",4.69,-71.2114323,42.3148095,"79 needham st, newton highlands, ma 02461, usa"
"Sunoco","14 Elliot St Newton Highlands MA 02461",3.69,NA,NA,-71.2123488,42.3183933,"14 elliot st, newton highlands, ma 02461, usa"
